L11,L12,L22,branch,cauchy_schwarz_determinant,cauchy_schwarz_ok,chemical_potential,disorder_full_width,final_residual,half_filling,ill_conditioned,index,interaction,iterations,kappa_e,kappa_half_filling_formula,kappa_half_relative_difference,lorenz,lorenz_over_L0,max_imag_sigma_global,max_imag_sigma_relevant,rho_arith_zero,rho_floor_count_final,rho_typ_zero,rho_zero,sigma,status,sum_rule_arith_bath,sum_rule_medium,target_filling,tau_symmetry_relative_error,temperature,temperatures,thermopower
0.10030803625593258,-4.336808689942018e-19,3.295583050950034e-05,arith,3.3057346415913295e-06,True,0.0,0.75,9.321351734624737e-09,True,False,6,0.0,423,0.003295583050950034,0.003295583050950034,0.0,3.285462634859549,0.9986608889299299,-2.985821334849795e-06,-2.985821334849795e-06,0.9424186457395236,0.0,0.8298370015060765,0.9424186457395236,0.10030803625593258,success,0.9998381096451118,0.9998381096451118,0.5,3.0424689522334053e-15,0.01,"[0.01, 0.02]",4.323490770845913e-16
0.10018144949047209,2.168404344971009e-19,0.0001311138301679288,arith,1.3135173554470693e-05,True,0.0,0.75,9.321351734624737e-09,True,False,6,0.0,423,0.006555691508396439,0.006555691508396439,0.0,3.2719088921846398,0.9945410451781135,-2.985821334849795e-06,-2.985821334849795e-06,0.9424186457395236,0.0,0.8298370015060765,0.9424186457395236,0.10018144949047209,success,0.9998381096451118,0.9998381096451118,0.5,3.0424689522334053e-15,0.02,"[0.01, 0.02]",-1.0822384563208172e-16
0.06558130238301524,0.0,2.145901225551129e-05,typ,1.4073099715695156e-06,True,0.0,0.75,8.194065102926502e-09,True,False,7,0.0,209,0.002145901225551129,0.002145901225551129,0.0,3.2721235284691317,0.9946062867853054,-0.0015440806288236058,-0.0015440806288236058,0.9812932848758954,0.0,0.8357707279168173,0.8357707279168173,0.06558130238301524,success,0.9998351596345184,0.6290130553757509,0.5,1.1619050713700491e-15,0.01,"[0.01, 0.02]",-0.0
0.06525023778493338,1.0842021724855044e-19,8.401460452112417e-05,typ,5.481972922410492e-06,True,0.0,0.75,8.194065102926502e-09,True,False,7,0.0,209,0.004200730226056208,0.004200730226056208,0.0,3.2189386342942785,0.9784400174962397,-0.0015440806288236058,-0.0015440806288236058,0.9812932848758954,0.0,0.8357707279168173,0.8357707279168173,0.06525023778493338,success,0.9998351596345184,0.6290130553757509,0.5,1.1619050713700491e-15,0.02,"[0.01, 0.02]",-8.308032348166035e-17
0.05827697745342973,5.421010862427522e-20,1.9159021153189783e-05,arith,1.1165298437742243e-06,True,0.0,1.0,8.938130978220084e-09,True,False,8,0.0,359,0.0019159021153189783,0.0019159021153189783,0.0,3.2875797596915746,0.9993044177116281,-5.338061915451629e-06,-5.338061915451629e-06,0.8041211829716183,0.0,0.6083738008070596,0.8041211829716183,0.05827697745342973,success,0.9998384373396041,0.9998384373396041,0.5,2.6189179594737753e-15,0.01,"[0.01, 0.02]",-9.302148291337789e-17
0.0582387555289126,0.0,7.642154081066916e-05,arith,4.450695432415378e-06,True,0.0,1.0,8.938130978220084e-09,True,False,8,0.0,359,0.003821077040533458,0.003821077040533458,0.0,3.2805277223312976,0.9971608553943284,-5.338061915451629e-06,-5.338061915451629e-06,0.8041211829716183,0.0,0.6083738008070596,0.8041211829716183,0.0582387555289126,success,0.9998384373396041,0.9998384373396041,0.5,2.6189179594737753e-15,0.02,"[0.01, 0.02]",-0.0
0.020520429792314634,2.710505431213761e-20,6.699372856827388e-06,typ,1.3747401036106472e-07,True,0.0,1.0,8.168555549890883e-09,True,False,9,0.0,207,0.0006699372856827388,0.0006699372856827388,0.0,3.2647332071653072,0.9923598984793034,-0.006941036855524166,-0.006941036855524166,0.8666139743645679,0.0,0.5363981771299186,0.5363981771299186,0.020520429792314634,success,0.9998463652338961,0.3561628571729955,0.5,1.3493529861020264e-15,0.01,"[0.01, 0.02]",-1.3208814136187863e-16
0.02037397572150727,5.421010862427522e-20,2.599596543242372e-05,typ,5.296411685773431e-07,True,0.0,1.0,8.168555549890883e-09,True,False,9,0.0,207,0.001299798271621186,0.001299798271621186,0.0,3.1898493681061155,0.9695979408518245,-0.006941036855524166,-0.006941036855524166,0.8666139743645679,0.0,0.5363981771299186,0.5363981771299186,0.02037397572150727,success,0.9998463652338961,0.3561628571729955,0.5,1.3493529861020264e-15,0.02,"[0.01, 0.02]",-1.3303762938877388e-16
0.03806320002445876,5.421010862427522e-20,1.2517676996170904e-05,arith,4.764628433468192e-07,True,0.0,1.25,9.018596261893657e-09,True,False,10,0.0,327,0.0012517676996170904,0.0012517676996170904,0.0,3.288655969053379,0.9996315461307832,-8.401714607321562e-06,-8.401714607321562e-06,0.6904372165449443,0.0,0.4339827214971914,0.6904372165449443,0.03806320002445876,success,0.9998376049561708,0.9998376049561708,0.5,2.7341755047972204e-15,0.01,"[0.01, 0.02]",-1.4242131137014422e-16
0.038049983002698386,0.0,4.9996619668927065e-05,arith,1.9023705285950506e-06,True,0.0,1.25,9.018596261893657e-09,True,False,10,0.0,327,0.002499830983446353,0.002499830983446353,0.0,3.2849304863934803,0.9984991351925633,-8.401714607321562e-06,-8.401714607321562e-06,0.6904372165449443,0.0,0.4339827214971914,0.6904372165449443,0.038049983002698386,success,0.9998376049561708,0.9998376049561708,0.5,2.7341755047972204e-15,0.02,"[0.01, 0.02]",-0.0
0.002392662415028798,0.0,7.72415833065354e-07,typ,1.8481303325486309e-09,True,0.0,1.25,8.35663056258697e-09,True,False,11,0.0,242,7.72415833065354e-05,7.72415833065354e-05,0.0,3.2282691791940787,0.9812761630560668,-0.10434774111829637,-0.10434774111829637,0.767588804737929,0.0,0.19467648114080996,0.19467648114080996,0.002392662415028798,success,0.9998994481686538,0.09737861391296083,0.5,3.243843233269628e-15,0.01,"[0.01, 0.02]",-0.0
0.002351250997838909,6.776263578034403e-21,2.869924852154477e-06,typ,6.747913672350898e-09,True,0.0,1.25,8.35663056258697e-09,True,False,11,0.0,242,0.00014349624260772385,0.00014349624260772385,0.0,3.051487117700634,0.9275408599043218,-0.10434774111829637,-0.10434774111829637,0.767588804737929,0.0,0.19467648114080996,0.19467648114080996,0.002351250997838909,success,0.9998994481686538,0.09737861391296083,0.5,3.243843233269628e-15,0.02,"[0.01, 0.02]",-1.4409911115960455e-16
0.026778984223176282,0.0,8.808123871951846e-06,arith,2.3587261020278088e-07,True,0.0,1.5,8.754577487631946e-09,True,False,12,0.0,295,0.0008808123871951846,0.0008808123871951846,0.0,3.289192673831414,0.9997946848209142,-1.2207745899360696e-05,-1.2207745899360696e-05,0.5999893428510626,0.0,0.3096583319637524,0.5999893428510626,0.026778984223176282,success,0.9998377389299262,0.9998377389299262,0.5,2.2023548644007117e-15,0.01,"[0.01, 0.02]",-0.0
0.02677380683659026,-5.421010862427522e-20,3.520353665693852e-05,arith,9.425326904176964e-07,True,0.0,1.5,8.754577487631946e-09,True,False,12,0.0,295,0.001760176832846926,0.001760176832846926,0.0,3.2871246953970528,0.9991660947527652,-1.2207745899360696e-05,-1.2207745899360696e-05,0.5999893428510626,0.0,0.3096583319637524,0.5999893428510626,0.02677380683659026,success,0.9998377389299262,0.9998377389299262,0.5,2.2023548644007117e-15,0.02,"[0.01, 0.02]",1.0123720723604628e-16
2.710356120014947e-05,7.940933880509066e-23,9.027100195089805e-09,typ,2.4466656259749775e-13,True,0.0,1.5,7.611389125206749e-09,True,False,13,0.0,159,9.027100195089805e-07,9.027100195089805e-07,0.0,3.3305956100853726,1.0123796683434723,-3.664837482232457,-3.664837482232457,0.2566968828732837,0.0,0.01923053526173317,0.01923053526173317,2.710356120014947e-05,success,0.9990063487436263,0.01585474523764928,0.5,5.790565282033948e-15,0.01,"[0.01, 0.02]",-2.929848893976808e-16
2.696292672227428e-05,0.0,3.3328986801150505e-08,typ,8.986470288470678e-13,True,0.0,1.5,7.611389125206749e-09,True,False,13,0.0,159,1.6664493400575253e-06,1.6664493400575253e-06,0.0,3.090260484743406,0.9393265502320391,-3.664837482232457,-3.664837482232457,0.2566968828732837,0.0,0.01923053526173317,0.01923053526173317,2.696292672227428e-05,success,0.9990063487436263,0.01585474523764928,0.5,5.790565282033948e-15,0.02,"[0.01, 0.02]",-0.0
0.018783452069947165,2.710505431213761e-20,6.178835299019896e-06,arith,1.1605985668723788e-07,True,0.0,1.8,8.666102242308678e-09,True,False,14,0.0,260,0.0006178835299019896,0.0006178835299019896,0.0,3.2895099771920018,0.9998911334771194,-1.781130276682719e-05,-1.781130276682719e-05,0.5155531932835142,0.0,0.2104466482961043,0.5155531932835142,0.018783452069947165,success,0.9998381445256698,0.9998381445256698,0.5,2.5858231169470386e-15,0.01,"[0.01, 0.02]",-1.4430283747205712e-16
0.018781521041792724,-1.0842021724855044e-19,2.470453005640993e-05,arith,4.6398865108206393e-07,True,0.0,1.8,8.666102242308678e-09,True,False,14,0.0,260,0.0012352265028204965,0.0012352265028204965,0.0,3.288409123179813,0.9995565139825223,-1.781130276682719e-05,-1.781130276682719e-05,0.5155531932835142,0.0,0.2104466482961043,0.5155531932835142,0.018781521041792724,success,0.9998381445256698,0.9998381445256698,0.5,2.5858231169470386e-15,0.02,"[0.01, 0.02]",2.886353480298355e-16
2.7239337521307594e-06,9.926167350636332e-24,9.311891108487056e-10,typ,2.5364974486574204e-15,True,0.0,1.8,4.825745386364879e-09,True,False,15,0.0,84,9.311891108487057e-08,9.311891108487057e-08,0.0,3.4185453670460815,1.039113188772417,-13.723726223804595,-13.723726223804595,0.08703322261928484,0.0,0.006246868138529679,0.006246868138529679,2.7239337521307594e-06,success,0.998560261083431,0.00781778231085433,0.5,7.49792721422162e-15,0.01,"[0.01, 0.02]",-3.6440560798777596e-16
2.7540156734839326e-06,-6.617444900424222e-24,3.546183337692147e-09,typ,9.766244493051738e-15,True,0.0,1.8,4.825745386364879e-09,True,False,15,0.0,84,1.7730916688460734e-07,1.7730916688460734e-07,0.0,3.219102356456538,0.9784897830660455,-13.723726223804595,-13.723726223804595,0.08703322261928484,0.0,0.006246868138529679,0.006246868138529679,2.7540156734839326e-06,success,0.998560261083431,0.00781778231085433,0.5,7.49792721422162e-15,0.02,"[0.01, 0.02]",1.2014174363889705e-16
0.01528450916870418,0.0,5.028079884114577e-06,arith,7.685173308972631e-08,True,0.0,2.0,8.730678694756736e-09,True,False,16,0.0,248,0.0005028079884114577,0.0005028079884114577,0.0,3.2896574097451747,0.9999359475995041,-2.2214977078204154e-05,-2.2214977078204154e-05,0.4703638418371633,0.0,0.16519127232661496,0.4703638418371633,0.01528450916870418,success,0.9998356337928592,0.9998356337928592,0.5,2.496851626103241e-15,0.01,"[0.01, 0.02]",-0.0
0.015283496352374252,0.0,2.0106185201284417e-05,arith,3.0729280818399156e-07,True,0.0,2.0,8.730678694756736e-09,True,False,16,0.0,248,0.0010053092600642208,0.0010053092600642208,0.0,3.288871986114776,0.9996972074438262,-2.2214977078204154e-05,-2.2214977078204154e-05,0.4703638418371633,0.0,0.16519127232661496,0.4703638418371633,0.015283496352374252,success,0.9998356337928592,0.9998356337928592,0.5,2.496851626103241e-15,0.02,"[0.01, 0.02]",-0.0
1.1518290493708293e-06,8.271806125530277e-24,3.974516328979486e-10,typ,4.57796336491728e-16,True,0.0,2.0,4.125369387878726e-09,True,False,17,0.0,68,3.974516328979486e-08,3.974516328979486e-08,0.0,3.4506130325073068,1.0488605902359507,-21.698247669976116,-21.698247669976116,0.05741338032876328,0.0,0.004105733947842113,0.004105733947842113,1.1518290493708293e-06,success,1.0017293570052703,0.006059570211206371,0.5,9.125908269299969e-15,0.01,"[0.01, 0.02]",-7.181452950894611e-16
1.1709687094688302e-06,6.617444900424222e-24,1.5212840851124724e-09,typ,1.7813760618796217e-15,True,0.0,2.0,4.125369387878726e-09,True,False,17,0.0,68,7.606420425562362e-08,7.606420425562362e-08,0.0,3.247917883737796,0.9872486530602909,-21.698247669976116,-21.698247669976116,0.05741338032876328,0.0,0.004105733947842113,0.004105733947842113,1.1709687094688302e-06,success,1.0017293570052703,0.006059570211206371,0.5,9.125908269299969e-15,0.02,"[0.01, 0.02]",-2.825628407878635e-16
